VisitYear,VisitMonth,VisitMode,Rating,AttractionType,Country,Region,Continent
2020,3,1,4,8,145,12,1
2020,3,3,4,8,100,14,3
2020,3,3,3,8,144,21,4
2020,3,3,5,8,27,12,1
2019,8,2,3,8,145,12,1
2019,6,3,2,8,144,21,4
2020,3,1,5,8,144,21,4
2020,3,1,4,8,52,6,4
2020,3,1,5,8,144,21,4
2020,3,1,5,8,145,12,1
2020,3,2,5,8,7,1,3
2020,2,4,4,8,27,12,1
2020,3,1,5,8,145,12,1
2020,2,2,5,8,143,10,2
2020,3,3,5,8,144,21,4
2019,4,3,5,8,145,12,1
2020,3,2,5,8,100,14,3
2020,2,2,4,8,49,21,4
2020,1,1,5,8,144,21,4
2020,3,1,4,8,144,21,4
2020,3,1,5,8,7,1,3
2019,6,1,5,8,62,17,2
2020,3,1,3,8,131,13,4
2020,3,1,5,8,88,19,4
2020,3,1,5,8,100,14,3
2020,3,1,5,8,144,21,4
2020,3,1,4,8,27,12,1
2020,3,1,4,8,27,12,1
2020,3,2,4,8,62,17,2
2020,3,3,4,8,58,8,2
2020,1,3,5,8,145,12,1
2020,2,1,5,8,100,14,3
2020,3,4,5,8,62,17,2
2020,2,3,4,8,145,12,1
2020,2,4,5,8,149,17,2
2020,2,4,4,8,113,10,2
2020,2,1,5,8,144,21,4
2020,2,4,4,8,7,1,3
2020,2,3,5,8,7,1,3
2020,2,1,5,8,145,12,1
2020,2,3,5,8,131,13,4
2020,2,3,3,8,7,1,3
2020,2,1,5,8,144,21,4
2020,2,2,5,8,30,15,1
2020,2,1,5,8,7,1,3
2019,4,2,5,8,100,14,3
2020,2,1,4,8,65,21,4
2020,2,1,3,8,144,21,4
2020,2,1,5,8,144,21,4
2020,2,1,4,8,21,15,1
2020,1,2,5,8,7,1,3
2020,2,1,5,8,7,1,3
2020,2,1,5,8,144,21,4
2020,2,1,5,8,27,12,1
2020,2,1,5,8,102,13,4
2020,2,1,3,8,7,1,3
2020,2,1,5,8,144,21,4
2020,2,3,4,8,144,21,4
2020,1,2,5,8,7,1,3
2020,2,3,1,8,31,8,2
2020,2,4,5,8,27,12,1
2020,2,1,4,8,144,21,4
2020,2,1,2,8,144,21,4
2020,2,3,5,8,76,6,4
2020,2,1,4,8,145,12,1
2020,2,1,5,8,27,12,1
2019,5,3,5,8,48,13,4
2020,2,4,5,8,87,12,1
2020,2,3,5,8,145,12,1
2020,2,1,5,8,145,12,1
2020,1,1,5,8,144,21,4
2020,2,3,2,8,62,17,2
2019,10,3,5,8,144,21,4
2020,2,4,4,8,135,17,2
2020,2,2,5,8,144,21,4
2020,2,3,5,8,7,1,3
2019,3,2,4,8,100,14,3
2020,1,1,5,8,145,12,1
2020,1,2,3,8,34,6,4
2020,1,2,5,8,7,1,3
2020,1,4,3,8,7,1,3
2020,1,3,4,8,62,17,2
2020,1,3,4,8,144,21,4
2020,1,1,5,8,144,21,4
2020,1,1,5,8,145,12,1
2020,1,2,4,8,61,16,2
2020,1,1,5,8,144,21,4
2020,1,3,4,8,7,1,3
2020,1,4,4,8,7,1,3
2020,1,2,3,8,7,1,3
2020,1,2,3,8,39,13,4
2020,1,1,5,8,145,12,1
2020,1,1,5,8,144,21,4
2020,1,4,5,8,7,1,3
2020,1,1,5,8,109,17,2
2020,1,2,5,8,62,17,2
2020,1,3,5,8,92,11,0
2020,1,2,5,8,7,1,3
2020,1,1,5,8,43,11,0
2020,1,3,5,8,149,17,2
2020,1,1,5,8,27,12,1
2020,1,2,5,8,144,21,4
2020,1,1,4,8,27,12,1
2019,12,2,3,8,61,16,2
2020,1,4,5,8,82,16,2
2020,1,1,1,8,145,12,1
2020,1,3,5,8,144,21,4
2020,1,1,4,8,127,19,4
2020,1,3,5,8,27,12,1
2020,1,2,4,8,27,12,1
2020,1,1,5,8,21,15,1
2020,1,1,4,8,61,16,2
2020,1,2,5,8,7,1,3
2020,1,1,5,8,135,17,2
2020,1,1,5,8,144,21,4
2019,12,2,4,8,7,1,3
2019,12,1,4,8,127,19,4
2020,1,2,5,8,7,1,3
2019,12,3,5,8,62,17,2
2020,1,2,5,8,87,12,1
2020,1,2,5,8,7,1,3
2020,1,1,3,8,7,1,3
2020,1,1,4,8,7,1,3
2020,1,1,3,8,100,14,3
2019,11,1,4,8,7,1,3
2019,12,2,5,8,122,17,2
2020,1,3,5,8,144,21,4
2020,1,1,5,8,144,21,4
2020,1,2,5,8,144,21,4
2019,12,1,3,8,125,18,0
2019,12,1,4,8,7,1,3
2020,1,2,5,8,125,18,0
2019,8,2,5,8,70,10,2
2019,12,3,5,8,123,6,4
2020,1,2,5,8,135,17,2
2020,1,4,2,8,143,10,2
2019,10,3,5,8,144,21,4
2020,1,1,3,8,100,14,3
2020,1,2,4,8,116,9,4
2020,1,3,5,8,131,13,4
2020,1,3,5,8,111,19,4
2019,12,1,5,8,7,1,3
2020,1,3,4,8,7,1,3
2020,1,3,4,8,21,15,1
2020,1,4,5,8,144,21,4
2019,12,1,5,8,125,18,0
2020,1,1,5,8,139,10,2
2020,1,1,5,8,144,21,4
2019,12,1,5,8,100,14,3
2020,1,2,5,8,7,1,3
2019,12,1,4,8,69,8,2
2019,4,4,5,8,144,21,4
2019,12,2,5,8,67,19,4
2020,1,3,5,8,39,13,4
2019,12,3,5,8,145,12,1
2020,1,4,5,8,61,16,2
2019,12,3,5,8,7,1,3
2019,12,2,5,8,37,10,2
2019,12,2,4,8,7,1,3
2020,1,2,3,8,7,1,3
2019,12,1,5,8,7,1,3
2019,12,2,5,8,144,21,4
2019,12,1,5,8,31,8,2
2019,12,4,5,8,27,12,1
2019,12,2,5,8,7,1,3
2019,12,3,5,8,62,17,2
2019,12,2,5,8,81,17,2
2019,12,4,5,8,7,1,3
2019,12,2,5,8,7,1,3
2019,12,2,4,8,15,21,4
2019,12,1,5,8,31,8,2
2019,12,1,5,8,145,12,1
2019,12,1,3,8,7,1,3
2019,12,2,3,8,134,7,0
2019,12,1,5,8,7,1,3
2019,12,3,3,8,31,8,2
2019,12,2,4,8,115,6,4
2019,12,2,5,8,144,21,4
2019,12,2,3,8,61,16,2
2019,12,1,4,8,8,6,4
2019,12,1,4,8,125,18,0
2019,12,2,4,8,122,17,2
2019,12,2,5,8,149,17,2
2019,12,1,4,8,122,17,2
2019,12,1,3,8,122,17,2
2019,12,1,4,8,7,1,3
2019,12,1,4,8,115,6,4
2019,12,1,5,8,39,13,4
2019,12,3,5,8,27,12,1
2019,12,4,5,8,8,6,4
2019,12,1,5,8,144,21,4
2019,12,1,5,8,7,1,3
2019,12,2,5,8,86,7,0
2019,12,4,4,8,144,21,4
2019,12,2,4,8,100,14,3
2019,12,2,4,8,122,17,2
2019,12,2,3,8,7,1,3
2019,12,3,4,8,23,19,4
2019,12,1,5,8,109,17,2
2019,12,1,5,8,62,17,2
2019,12,3,5,8,102,13,4
2019,12,1,4,8,131,13,4
2019,11,2,4,8,7,1,3
2019,12,1,4,8,144,21,4
2019,12,1,4,8,27,12,1
2019,12,1,4,8,144,21,4
2019,12,2,5,8,7,1,3
2019,12,2,5,8,113,10,2
2019,12,1,5,8,109,17,2
2019,11,1,5,8,145,12,1
2019,12,1,5,8,145,12,1
2019,12,4,5,8,98,21,4
2019,12,1,4,8,7,1,3
2019,12,1,5,8,144,21,4
2019,12,1,5,8,144,21,4
2019,12,1,5,8,144,21,4
2019,11,3,4,8,7,1,3
2019,12,2,3,8,7,1,3
2019,12,1,4,8,98,21,4
2019,12,1,5,8,27,12,1
2019,12,4,4,8,131,13,4
2019,12,2,4,8,7,1,3
2019,12,2,5,8,7,1,3
2019,12,1,3,8,144,21,4
2019,12,1,5,8,145,12,1
2019,12,4,5,8,27,12,1
2019,12,2,5,8,7,1,3
2019,12,3,4,8,7,1,3
2019,12,2,4,8,145,12,1
2019,12,2,5,8,7,1,3
2019,12,3,5,8,27,12,1
2019,12,1,4,8,61,16,2
2019,2,2,5,8,100,14,3
2019,11,3,4,8,125,18,0
2019,12,1,5,8,7,1,3
2019,11,3,5,8,135,17,2
2019,10,3,5,8,145,12,1
2019,12,1,4,8,145,12,1
2019,9,1,5,8,145,12,1
2019,11,1,4,8,145,12,1
2019,11,1,5,8,144,21,4
2019,11,1,5,8,145,12,1
2019,8,1,5,8,145,12,1
2019,11,1,4,8,144,21,4
2019,11,1,4,8,144,21,4
2019,11,4,4,8,144,21,4
2019,11,1,4,8,125,18,0
2019,10,1,5,8,81,17,2
2019,11,3,3,8,51,9,4
2019,11,1,5,8,65,21,4
2019,11,1,5,8,37,10,2
2019,11,1,5,8,149,17,2
2019,11,2,5,8,143,10,2
2019,11,1,5,8,125,18,0
2019,11,3,5,8,67,19,4
2019,11,1,5,8,144,21,4
2019,11,4,4,8,27,12,1
2019,11,3,5,8,145,12,1
2019,11,2,5,8,7,1,3
2019,11,3,5,8,7,1,3
2019,10,3,5,8,143,10,2
2019,11,1,4,8,127,19,4
2019,11,1,5,8,144,21,4
2019,11,1,5,8,144,21,4
2019,11,1,5,8,144,21,4
2019,11,2,4,8,7,1,3
2019,8,2,4,8,61,16,2
2019,11,3,5,8,7,1,3
2019,11,2,5,8,144,21,4
2019,11,3,5,8,145,12,1
2019,11,1,5,8,135,17,2
2019,11,3,5,8,87,12,1
2019,11,1,4,8,52,6,4
2019,11,3,4,8,55,19,4
2019,11,3,3,8,143,10,2
2019,11,3,5,8,27,12,1
2019,11,1,4,8,27,12,1
2019,11,1,5,8,27,12,1
2019,11,1,4,8,7,1,3
2019,11,3,4,8,145,12,1
2019,10,2,1,8,62,17,2
2019,11,1,4,8,144,21,4
2019,11,1,5,8,7,1,3
2019,11,3,5,8,144,21,4
2019,11,1,5,8,7,1,3
2019,11,3,5,8,116,9,4
2019,11,2,3,8,65,21,4
2019,11,3,4,8,145,12,1
2019,11,1,5,8,7,1,3
2019,11,3,5,8,139,10,2
2019,10,1,5,8,144,21,4
2019,11,1,4,8,111,19,4
2019,11,1,5,8,37,10,2
2019,10,4,4,8,62,17,2
2019,11,3,5,8,100,14,3
2019,11,1,4,8,110,6,4
2019,11,3,5,8,7,1,3
2019,11,1,3,8,122,17,2
2019,11,1,4,8,39,13,4
2019,11,1,5,8,144,21,4
2019,11,1,4,8,145,12,1
2019,11,1,4,8,98,21,4
2019,11,1,5,8,144,21,4
2019,11,4,4,8,7,1,3
2019,10,4,5,8,145,12,1
2019,2,2,5,8,62,17,2
2019,11,1,5,8,145,12,1
2019,11,1,5,8,7,1,3
2019,10,1,5,8,145,12,1
2019,11,1,5,8,51,9,4
2019,11,1,5,8,39,13,4
2019,11,1,5,8,7,1,3
2019,10,3,5,8,7,1,3
2019,10,1,5,8,144,21,4
2019,10,3,5,8,145,12,1
2019,10,1,4,8,65,21,4
2019,10,3,4,8,145,12,1
2019,10,1,3,8,144,21,4
2019,10,2,5,8,49,21,4
2019,10,1,4,8,65,21,4
2019,10,1,5,8,125,18,0
2019,10,1,5,8,7,1,3
2019,10,1,5,8,145,12,1
2019,10,1,4,8,8,6,4
2019,10,1,2,8,144,21,4
2019,10,3,3,8,98,21,4
2019,10,1,5,8,144,21,4
2019,9,1,4,8,61,16,2
2019,9,3,5,8,114,19,4
2019,10,2,5,8,144,21,4
2019,10,1,2,8,98,21,4
2019,10,3,5,8,125,18,0
2019,10,1,5,8,27,12,1
2019,10,1,5,8,143,10,2
2019,10,1,5,8,115,6,4
2019,10,3,3,8,149,17,2
2019,10,1,5,8,144,21,4
2019,10,3,4,8,27,12,1
2019,10,1,4,8,55,19,4
2019,10,2,3,8,132,6,4
2019,10,2,4,8,143,10,2
2019,10,1,4,8,143,10,2
2019,10,1,4,8,144,21,4
2019,10,1,5,8,7,1,3
2019,9,2,2,8,122,17,2
2019,10,1,4,8,144,21,4
2019,10,1,4,8,144,21,4
2019,10,4,5,8,52,6,4
2019,10,4,4,8,144,21,4
2019,10,2,4,8,113,10,2
2019,10,1,5,8,144,21,4
2019,10,2,4,8,127,19,4
2019,10,3,5,8,145,12,1
2019,10,1,5,8,144,21,4
2019,10,1,5,8,144,21,4
2019,10,4,4,8,109,17,2
2019,10,1,5,8,144,21,4
2019,10,3,5,8,104,16,2
2019,10,3,5,8,48,13,4
2019,10,2,4,8,7,1,3
2019,10,1,4,8,144,21,4
2019,10,4,5,8,62,17,2
2019,10,1,5,8,61,16,2
2019,10,2,4,8,7,1,3
2019,10,1,5,8,144,21,4
2019,10,1,5,8,144,21,4
2019,10,3,4,8,144,21,4
2019,10,2,4,8,7,1,3
2019,10,1,5,8,144,21,4
2019,10,1,5,8,125,18,0
2019,10,3,5,8,122,17,2
2019,10,1,1,8,7,1,3
2019,10,1,3,8,7,1,3
2019,10,1,5,8,144,21,4
2019,10,2,5,8,61,16,2
2019,10,2,5,8,144,21,4
2019,10,4,3,8,7,1,3
2019,10,3,5,8,145,12,1
2019,10,1,1,8,7,1,3
2019,10,1,3,8,98,21,4
2019,10,2,5,8,113,10,2
2019,10,3,5,8,145,12,1
2019,10,3,4,8,145,12,1
2019,10,3,5,8,7,1,3
2019,10,2,5,8,7,1,3
2019,8,3,4,8,61,16,2
2019,9,1,4,8,144,21,4
2019,10,1,3,8,61,16,2
2019,9,1,4,8,27,12,1
2019,10,1,5,8,144,21,4
2019,10,3,4,8,61,16,2
2019,10,1,5,8,87,12,1
2019,10,1,5,8,109,17,2
2019,9,2,4,8,7,1,3
2019,10,1,3,8,144,21,4
2019,10,1,5,8,144,21,4
2019,10,4,5,8,145,12,1
2019,10,4,5,8,144,21,4
2019,10,4,3,8,145,12,1
2019,10,3,4,8,144,21,4
2019,9,1,4,8,144,21,4
2019,10,1,5,8,79,6,4
2019,8,1,3,8,145,12,1
2019,10,1,3,8,109,17,2
2019,10,1,4,8,67,19,4
2019,9,1,4,8,144,21,4
2019,10,1,5,8,144,21,4
2019,10,1,4,8,121,7,0
2019,10,1,5,8,15,21,4
2019,9,1,5,8,62,17,2
2018,11,3,4,8,7,1,3
2019,10,1,5,8,31,8,2
2019,9,1,5,8,145,12,1
2019,10,4,5,8,27,12,1
2019,9,2,5,8,145,12,1
2019,10,4,5,8,51,9,4
2019,10,1,5,8,31,8,2
2019,9,1,5,8,52,6,4
2019,9,1,5,8,52,6,4
2019,9,4,5,8,145,12,1
2019,9,1,3,8,128,16,2
2019,9,1,3,8,145,12,1
2019,9,1,5,8,67,19,4
2019,9,3,5,8,62,17,2
2019,9,2,3,8,144,21,4
2019,9,1,5,8,144,21,4
2019,9,1,5,8,144,21,4
2019,9,2,4,8,145,12,1
2019,9,1,5,8,144,21,4
2019,9,2,4,8,7,1,3
2019,9,1,4,8,98,21,4
2019,9,1,5,8,145,12,1
2019,9,4,5,8,111,19,4
2019,9,3,5,8,51,9,4
2019,9,1,5,8,144,21,4
2019,9,2,5,8,110,6,4
2019,9,4,3,8,100,14,3
2019,9,1,5,8,143,10,2
2019,9,1,5,8,145,12,1
2019,9,1,5,8,62,17,2
2019,9,3,5,8,7,1,3
2019,9,1,4,8,144,21,4
2019,9,1,4,8,144,21,4
2019,9,1,3,8,7,1,3
2019,9,1,4,8,59,6,4
2019,9,2,4,8,7,1,3
2019,9,1,5,8,127,19,4
2019,4,1,5,8,69,8,2
2019,9,1,4,8,7,1,3
2019,9,1,5,8,139,10,2
2019,9,1,5,8,67,19,4
2019,9,1,5,8,52,6,4
2019,9,1,5,8,122,17,2
2019,9,2,5,8,7,1,3
2019,9,1,5,8,7,1,3
2019,9,1,5,8,145,12,1
2019,9,1,5,8,61,16,2
2019,9,1,5,8,144,21,4
2019,9,1,5,8,144,21,4
2019,9,2,4,8,98,21,4
2019,9,4,5,8,61,16,2
2019,9,1,5,8,144,21,4
2019,9,2,4,8,144,21,4
2019,9,1,3,8,7,1,3
2019,9,3,5,8,144,21,4
2019,9,1,5,8,144,21,4
2019,9,2,4,8,113,10,2
2019,9,3,5,8,149,17,2
2019,9,1,5,8,145,12,1
2019,9,1,3,8,7,1,3
2019,9,1,4,8,52,6,4
2019,9,2,5,8,126,8,2
2019,9,1,4,8,125,18,0
2019,9,1,5,8,127,19,4
2019,9,1,5,8,144,21,4
2019,9,1,4,8,7,1,3
2019,9,4,5,8,144,21,4
2019,9,1,3,8,144,21,4
2019,9,2,4,8,69,8,2
2019,9,3,4,8,100,14,3
2019,9,1,5,8,144,21,4
2019,9,2,4,8,62,17,2
2019,9,1,3,8,52,6,4
2019,9,1,5,8,144,21,4
2019,9,1,5,8,144,21,4
2019,9,1,4,8,144,21,4
2019,9,1,4,8,27,12,1
2019,9,3,5,8,100,14,3
2019,9,2,5,8,145,12,1
2019,9,3,5,8,144,21,4
2019,9,1,5,8,144,21,4
2019,9,1,5,8,144,21,4
2019,9,1,4,8,144,21,4
2019,9,1,5,8,144,21,4
2019,8,1,4,8,144,21,4
2019,8,2,4,8,122,17,2
2019,9,1,3,8,126,8,2
2019,9,1,4,8,144,21,4
2019,9,1,5,8,144,21,4
2019,8,3,3,8,145,12,1
2019,9,1,4,8,120,6,4
2019,9,3,5,8,126,8,2
2019,9,1,5,8,144,21,4
2019,9,1,5,8,67,19,4
2019,9,4,4,8,145,12,1
2019,9,1,3,8,122,17,2
2019,9,3,4,8,7,1,3
2019,9,1,5,8,122,17,2
2019,9,4,5,8,109,17,2
2019,9,1,5,8,115,6,4
2019,8,2,5,8,113,10,2
2019,9,1,1,8,144,21,4
2019,9,1,5,8,60,13,4
2019,9,1,5,8,144,21,4
2019,9,2,5,8,144,21,4
2019,8,1,5,8,7,1,3
2019,9,1,4,8,49,21,4
2019,9,1,3,8,113,10,2
2019,9,2,1,8,7,1,3
2019,9,1,3,8,55,19,4
2019,9,2,5,8,132,6,4
2019,1,1,5,8,48,13,4
2019,9,1,5,8,62,17,2
2019,9,1,5,8,55,19,4
2019,9,4,5,8,131,13,4
2019,9,1,4,8,77,10,2
2019,9,1,5,8,7,1,3
2019,9,1,5,8,125,18,0
2019,9,1,5,8,61,16,2
2019,9,3,5,8,145,12,1
2019,9,3,5,8,120,6,4
2019,9,1,4,8,127,19,4
2019,8,1,5,8,132,6,4
2019,9,2,5,8,7,1,3
2019,9,1,5,8,144,21,4
2019,8,2,5,8,69,8,2
2019,8,2,4,8,62,17,2
2019,9,1,5,8,144,21,4
2019,8,1,4,8,62,17,2
2019,9,1,3,8,100,14,3
2019,9,3,5,8,61,16,2
2018,11,2,3,8,62,17,2
2019,9,1,4,8,3,18,0
2019,9,4,4,8,145,12,1
2019,8,3,4,8,62,17,2
2019,9,1,4,8,144,21,4
2019,9,1,4,8,61,16,2
2019,8,4,1,8,30,15,1
2019,9,2,4,8,144,21,4
2019,9,3,5,8,7,1,3
2019,8,3,5,8,7,1,3
2019,9,1,4,8,61,16,2
2019,8,2,4,8,49,21,4
2019,7,1,5,8,7,1,3
2019,8,1,5,8,70,10,2
2019,8,2,5,8,144,21,4
2019,8,1,5,8,135,17,2
2019,8,1,5,8,98,21,4
2019,8,2,4,8,7,1,3
2019,8,2,5,8,144,21,4
2019,8,1,5,8,7,1,3
2019,7,3,5,8,61,16,2
2019,8,2,3,8,7,1,3
2019,8,1,5,8,67,19,4
2019,8,1,5,8,145,12,1
2019,8,1,5,8,145,12,1
2019,8,1,5,8,143,10,2
2019,8,1,4,8,144,21,4
2019,8,1,5,8,145,12,1
2019,8,1,3,8,49,21,4
2019,7,1,2,8,15,21,4
2019,8,2,5,8,144,21,4
2019,8,2,3,8,144,21,4
2019,8,1,4,8,7,1,3
2019,8,2,4,8,7,1,3
2019,8,2,4,8,7,1,3
2019,8,2,1,8,49,21,4
2019,8,1,3,8,144,21,4
2019,8,1,4,8,7,1,3
2019,8,1,4,8,69,8,2
2019,8,2,1,8,7,1,3
2019,6,2,1,8,62,17,2
2019,8,3,5,8,100,14,3
2019,6,3,4,8,145,12,1
2019,7,2,2,8,7,1,3
2019,8,2,5,8,144,21,4
2019,8,1,5,8,144,21,4
2019,8,1,4,8,144,21,4
2019,7,1,4,8,62,17,2
2019,8,1,5,8,7,1,3
2019,8,4,5,8,144,21,4
2019,8,1,4,8,98,21,4
2019,8,2,5,8,143,10,2
2019,8,3,5,8,103,10,2
2019,8,1,5,8,144,21,4
2019,8,3,4,8,100,14,3
2019,8,2,4,8,118,10,2
2019,8,4,5,8,144,21,4
2019,8,1,3,8,144,21,4
2019,8,3,5,8,149,17,2
2019,8,1,5,8,100,14,3
2019,8,3,5,8,145,12,1
2019,8,1,5,8,139,10,2
2019,8,2,5,8,7,1,3
2019,8,2,4,8,144,21,4
2019,8,1,4,8,49,21,4
2019,8,3,4,8,144,21,4
2019,8,1,4,8,100,14,3
2019,8,1,4,8,144,21,4
2019,8,1,5,8,144,21,4
2018,10,3,4,8,52,6,4
2019,8,1,5,8,55,19,4
2019,8,3,5,8,144,21,4
2019,4,1,5,8,144,21,4
2019,7,2,4,8,98,21,4
2019,8,1,5,8,21,15,1
2019,8,2,5,8,111,19,4
2019,8,3,4,8,100,14,3
2019,8,3,3,8,27,12,1
2019,8,1,5,8,7,1,3
2019,8,1,4,8,145,12,1
2019,8,1,4,8,55,19,4
2019,8,1,5,8,144,21,4
2019,8,1,4,8,7,1,3
2019,8,2,4,8,65,21,4
2019,8,2,4,8,143,10,2
2019,6,3,5,8,61,16,2
2019,8,1,2,8,62,17,2
2019,8,2,5,8,127,19,4
2019,8,3,5,8,69,8,2
2019,6,1,4,8,145,12,1
2019,8,1,5,8,122,17,2
2019,8,3,5,8,144,21,4
2019,8,1,5,8,7,1,3
2019,7,3,5,8,127,19,4
2019,8,4,4,8,62,17,2
2019,8,2,5,8,49,21,4
2019,8,3,5,8,62,17,2
2019,8,4,5,8,7,1,3
2019,6,1,4,8,62,17,2
2019,7,2,5,8,100,14,3
2019,8,1,4,8,21,15,1
2019,7,1,4,8,144,21,4
2019,8,3,5,8,144,21,4
2019,8,4,4,8,7,1,3
2019,8,1,4,8,7,1,3
2019,8,2,5,8,145,12,1
2019,8,1,5,8,100,14,3
2019,7,1,5,8,122,17,2
2019,8,1,4,8,48,13,4
2019,8,2,3,8,49,21,4
2019,5,4,5,8,62,17,2
2019,5,4,4,8,144,21,4
2019,8,1,5,8,37,10,2
2019,7,1,4,8,100,14,3
2019,8,4,4,8,100,14,3
2019,4,1,5,8,144,21,4
2019,6,1,1,8,61,16,2
2019,7,3,3,8,127,19,4
2014,1,1,4,8,27,12,1
2014,4,1,4,8,145,12,1
2014,4,1,5,8,144,21,4
2014,4,2,4,8,27,12,1
2014,4,1,3,8,48,13,4
2014,3,1,5,8,144,21,4
2013,3,3,4,8,62,17,2
2014,2,3,5,8,145,12,1
2014,2,3,4,8,62,17,2
2013,7,1,1,8,7,1,3
2014,1,3,4,8,7,1,3
2013,12,4,5,8,10,2,1
2014,2,1,5,8,101,4,1
2014,1,2,5,8,7,1,3
2014,1,1,4,8,7,1,3
2013,12,2,5,8,145,12,1
2013,12,2,4,8,81,17,2
2013,12,2,5,8,7,1,3
2013,12,2,3,8,81,17,2
2013,7,4,5,8,145,12,1
2013,12,2,4,8,27,12,1
2013,11,1,4,8,7,1,3
2013,11,2,4,8,81,17,2
2013,9,3,3,8,127,19,4
2013,9,1,2,8,7,1,3
2013,8,4,5,8,62,17,2
2013,3,3,2,8,81,17,2
2013,8,2,1,8,7,1,3
2013,8,3,5,8,144,21,4
2013,7,1,4,8,7,1,3
2013,6,4,5,8,7,1,3
2013,6,1,5,8,7,1,3
2013,7,1,4,8,109,17,2
2013,7,1,4,8,69,8,2
2013,7,1,4,8,145,12,1
2013,5,1,5,8,49,21,4
2013,5,1,3,8,144,21,4
2013,5,2,5,8,145,12,1
2013,4,3,1,8,7,1,3
2013,3,1,4,8,145,12,1
2013,4,1,5,8,58,8,2
2013,3,1,3,8,7,1,3
2013,3,3,5,8,145,12,1
2013,3,2,5,8,27,12,1
2013,3,1,5,8,27,12,1
2013,2,2,5,8,62,17,2
2013,3,1,5,8,27,12,1
2013,2,1,3,8,7,1,3
2013,1,1,4,8,27,12,1
2013,2,2,4,8,7,1,3
2013,2,2,4,8,7,1,3
2013,1,1,3,8,7,1,3
2013,1,1,5,8,7,1,3
2022,5,3,4,8,61,16,2
2019,12,1,5,8,144,21,4
2020,3,2,5,8,7,1,3
2020,2,3,4,8,145,12,1
2020,2,2,5,8,30,15,1
2020,2,1,5,8,144,21,4
2020,2,1,4,8,144,21,4
2020,1,1,5,8,27,12,1
2020,1,2,5,8,144,21,4
2020,1,1,4,8,61,16,2
2020,1,1,5,8,135,17,2
2019,12,1,3,8,125,18,0
2019,12,1,4,8,69,8,2
2019,4,4,5,8,144,21,4
2019,12,4,5,8,27,12,1
2019,12,2,5,8,7,1,3
2019,12,1,5,8,31,8,2
2019,12,3,5,8,27,12,1
2019,12,2,4,8,122,17,2
2019,12,3,5,8,102,13,4
2019,12,2,5,8,7,1,3
2019,12,3,5,8,27,12,1
2019,11,3,5,8,135,17,2
2019,11,1,4,8,125,18,0
2019,11,1,5,8,149,17,2
2019,11,3,5,8,145,12,1
2019,10,3,5,8,143,10,2
2019,11,2,3,8,65,21,4
2019,11,3,4,8,145,12,1
2019,11,3,5,8,7,1,3
2019,2,2,5,8,62,17,2
2019,10,1,5,8,144,21,4
2019,10,3,4,8,145,12,1
2019,10,3,3,8,98,21,4
2019,10,1,5,8,27,12,1
2019,10,1,4,8,144,21,4
2019,9,2,2,8,122,17,2
2019,10,3,4,8,144,21,4
2019,10,2,4,8,7,1,3
2019,10,4,3,8,7,1,3
2019,8,3,4,8,61,16,2
2019,10,1,3,8,144,21,4
